Season,Player,Team,position,game_id,game_date,home_team,away_team,G,A1,A2,PTS,PrPTS,GS,SOG,eGF,eGA,GF.,PPG,PPA1,PPA2,SHG,SHA1,SHA2,FOW,FOL,PIM,Blk,TO,SV,GA
2018,Kimberly Sass,MET,G,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0.7000000000000001,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,5,0
2018,Kristin Lewicki,MET,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0.33,3,0,0,NA,0,0,0,0,0,0,1,1,0,1,0,0,0
2018,Lee Stecklein,MIN,D,22207016,2018-10-21,MET,MIN,0,1,0,1,1,0.64,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Madison Packer,MET,F,22207016,2018-10-21,MET,MIN,1,0,0,1,1,1.57,5,0,0,NA,0,0,0,0,0,0,5,2,4,0,0,0,0
2018,Meghan  Pezon,MIN,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0.22999999999999998,1,0,0,NA,0,0,0,0,0,0,1,0,0,0,0,0,0
2018,Michelle Picard,MET,D,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
2018,Rebecca Morse,MET,D,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Rebecca Russo,MET,F,22207016,2018-10-21,MET,MIN,0,0,1,1,0,0.61,3,0,0,NA,0,0,0,0,0,0,3,6,0,0,0,0,0
2018,Tanja Eisenschmid,MIN,D,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0.11,1,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,0,0
2018, Kelsey  Koelzer,MET,D,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Alexa Aramburu,MET,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,1,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Alexa Gruschow,MET,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Allie Thunstrom,MIN,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Amanda Boulier,MIN,D|F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Amanda Kessel,MET,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Amy  Menke,MIN,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Amy Schlagel,MIN,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,3,2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Audra Richards,MET,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,1,4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Chelsea Ziadie,MET,D,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Chelsey Brodt Rosenthal,MIN,D,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,3,2,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Emma Stauber,MIN,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Erika  Lawler,MET,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,1,3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Fiona  McKenna,MET,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Hannah  Brandt,MIN,F,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,1,2,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,Jenny Ryan,MET,D,22207016,2018-10-21,MET,MIN,0,0,0,0,0,0,0,2,2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0
