Season,event_team,home_skaters,away_skaters,event_player_1,event_player_2
2017,CTW,5,5,Emily Fluke,Amanda Boulier
2017,BOS,5,5,Haley Skarupa,Jordan Smelker
2017,BOS,5,5,Emily Field,Dana Trivigno
2017,CTW,5,5,Kelly Babstock,Sam Faber
2017,CTW,5,5,Sam Faber,Emily Fluke
2017,BUF,4,5,Rebecca  Vint,Kaylyn  Schroka
2017,BOS,5,5,Alyssa Gagliardi,Janine Weber
2017,BOS,5,4,Jordan Smelker,Alyssa Gagliardi
2017,BOS,5,4,Alyssa Gagliardi,Jillian Dempsey
2017,BUF,5,5,Sarah  Edney,NA
2017,BOS,5,5,Emily Field,Jillian Dempsey
2017,BOS,5,5,Jillian Dempsey,Dana Trivigno
2017,BOS,5,5,Jillian Dempsey,Emily Field
2017,BOS,5,5,Dana Trivigno,Emily Field
2017,CTW,5,5,Kelly Babstock,Sam Faber
2017,BOS,5,5,Dana Trivigno,Kaleigh Fratkin
2017,MET,5,5,Miye D'Oench,Alexa Gruschow
2017,MET,4,5,Jenny Ryan,Courtney Burke
2017,MET,5,5,Alexa Gruschow,Bray Ketchum
2017,BOS,5,5,Janine Weber,Kathryn Tomaselli
2017,MET,4,5,Erika  Lawler,Madison Packer
